,num_of_weeks,lyric,name,artist,year
11,3,Mrs Brown you ve got a lovely daughter Girls as sharp as her are somethin rare But it s sad she doesn t love me now She s made it clear enough it ain t no good to pine She wants to return those things I bought her Tell her she can keep them just the same Things have changed she doesn t love me now She s made it clear enough it ain t no good to pine Walkin about even in a crowd well You ll pick her out makes a bloke feel so proud If she finds that I ve been round to see you round to see you Tell her that I m well and feelin fine feelin fine Don t let on don t say she s broke my heart I d go down on my knees but it s no good to pine Walkin about even in a crowd well You ll pick her out makes a bloke feel so proud If she finds that I ve been round to see you round to see you Tell her that I m well and feelin fine feelin fine Don t let on don t say she s broke my heart I d go down on my knees but it s no good to pine Mrs Brown you ve got a lovely daughter lovely daughter Repeat x4,Mrs. Brown You've Got A Lovely Daughter,"Herman's Hermits ",1965
12,1,I think I m gonna be sad I think it s today yeah The girl that s driving me mad Is going away She s got a ticket to ride She s got a ticket to ride She s got a ticket to ride But she don t care She said that living with me Is bringing her down yeah For she would never be free When I was around She s got a ticket to ride She s got a ticket to ride She s got a ticket to ride But she don t care I don t know why she s ridin so high She ought to think twice She ought to do right by me Before she gets to saying goodbye She ought to think twice She ought to do right by me I think I m gonna be sad I think it s today yeah The girl that s driving me mad Is going away yeah She s got a ticket to ride She s got a ticket to ride She s got a ticket to ride But she don t care I don t know why she s ridin so high She ought to think twice She ought to do right by me Before she gets to saying goodbye She ought to think twice She ought to do right by me She said that living with me Is bringing her down yeah For she would never be free When I was around Ah she s got a ticket to ride She s got a ticket to ride She s got a ticket to ride But she don t care My baby don t care my baby don t care My baby don t care my baby don t care My baby don t care my baby don t care,Ticket To Ride,"The Beatles ",1965
13,2,Well since she put me down I ve been out doin in my head I come in late at night And in the mornin I just lay in bed Well Rhonda you look so fine look so fine And I know it wouldn t take much time For you to help me Rhonda Help me get her out of my heart Chorus Help me Rhonda Help help me Rhonda Help me Rhonda Help help me Rhonda Help me Rhonda Help help me Rhonda Help me Rhonda Help help me Rhonda Help me Rhonda Help help me Rhonda Help me Rhonda Help help me Rhonda Help me Rhonda yeah Get her out of my heart She was gonna be my wife And I was gonna be her man Oh Rhonda But she let another guy come between us And it shattered our plans Oh Rhonda Well Rhonda you caught my eye caught my eye And I can give you lots of reasons why You gotta help me Rhonda Help me get her out of my heart Chorus x 2,"Help Me, Rhonda","The Beach Boys ",1965
14,1,Oooooh All day long I hear my telephone ring Friends calling giving their advice From the boy I love I should break away Cause heartaches he ll bring one day I lost him once through friends advice But it s not gonna happen twice Cause all advice ever gotten me Was really long and sleepless nights Oooooh But now he s back in my arms again Right by my side I got him back in my arms again So satisfied Oooooh It s easy for friends to say let him go But I m the one who needs him so It s his love that makes me strong Without him I can t go on This time I ll live my life at ease Being happy loving whom I please And each time we make romance I ll be thankful for a second chance Oooooh Cause he s back in my arms again Right by my side I got him back in my arms again So satisfied Oooooh How can Mary tell me what to do When she lost her love so true And Flo she don t know Cause the boy she loves is a Romeo I listened once to my friends advice But it s not gonna happen twice Cause all advice ever gotten me Was really long and sleepless nights Oooooh I got him back in my arms again Right by my side I got him back in my arms again So satisfied Oooooh I m satisfied So satisfied I m satisfied I m satisfied so satisfied,Back In My Arms Again,"The Supremes ",1965
15,1,Not Found,I Can't Help Myself (Sugar Pie Honey Bunch),"Four Tops ",1965
16,1,Hey Mr Tambourine man play a song for me I m not sleepy and there ain t no place I m going to Hey Mr Tambourine man play a song for me In the jingle jangle morning I ll come followin you Take me for a trip upon your magic swirling ship All my senses have been stripped And my hands can t feel to grip and my toes too numb to step Wait only for my boot heels to be wandering I m ready to go anywhere I m ready for to fade Into my own parade Cast your dancing spell my way I promise to go under it Hey Mr Tambourine man play a song for me I m not sleepy and there ain t no place I m going to Hey Mr Tambourine man play a song for me In the jingle jangle morning I ll come followin you,Mr. Tambourine Man,"The Byrds ",1965
17,1,Not Found,I Can't Help Myself (Sugar Pie Honey Bunch),"Four Tops ",1965
18,4,Not Found,(I Can't Get No) Satisfaction,"The Rolling Stones ",1965
19,1,I m Henry the eighth I am Henry the eighth I am I am I got married to the widow next door She s been married seven times before And every one was an Henry Henry She wouldn t have a Willy or a Sam no Sam I m her eighth old man I m Henry Henry the eighth I am Second verse same as the first I m Henry the eighth I am Henry the eighth I am I am I got married to the widow next door She s been married seven times before And every one was an Henry Henry She wouldn t have a Willy or a Sam no Sam I m her eighth old man I m Henry Henry the eighth I am lead guitar I m Henry the eighth I am Henry the eighth I am I am I got married to the widow next door She s been married seven times before And every one was an Henry Henry She wouldn t have a Willy or a Sam no Sam I m her eighth old man I m Henry Henry the eighth I am H E N are why Henry Henry Henry Henry Henry the eighth I am I am Henry the eighth I am Yeah,"I'm Henry VIII, I Am","Herman's Hermits ",1965
20,3,They say we re young and we don t know We won t find out until we grow Well I don t know if all that s true Cause you got me and baby I got you Babe I got you babe I got you babe They say our love won t pay the rent Before it s earned our money s all been spent I guess that s so we don t have a plot But at least I m sure of all the things we got Babe I got you babe I got you babe I got flowers in the spring I got you to wear my ring And when I m sad you re a clown And if I get scared you re always around Don t let them say your hair s too long Cause I don t care with you I can t go wrong Then put your little hand in mine There ain t no hill or mountain we can t climb Babe I got you babe I got you babe I got you to hold my hand I got you to understand I got you to walk with me I got you to talk with me I got you to kiss goodnight I got you to hold me tight I got you I won t let go I got you to love me so I got you babe I got you babe I got you babe I got you babe I got you babe I got you babe I got you babe I got you babe,I Got You Babe,"Sonny & Cher ",1965
21,3,Help Help I need somebody Help Not just anybody Help You know I need someone help When I was younger so much younger than today I never needed anybody s help in any way But now these days are gone I m not so self assured Now I find I ve changed my mind I ve opened up the doors Help me if you can I m feeling down And I do appreciate you being around Help me get my feet back on the ground Won t you please please help me And now my life has changed in oh so many ways My independence seems to vanish in the haze But ev ry now and then I feel so insecure I know that I just need you like I ve never done before Help me if you can I m feeling down And I do appreciate you being around Help me get my feet back on the ground Won t you please please help me When I was younger so much younger than today I never needed anybody s help in any way But now these days are gone I m not so self assured Now I find I ve changed my mind I ve opened up the doors Help me if you can I m feeling down And I do appreciate you being round Help me get my feet back on the ground Won t you please Please help me Help me Help me oh,Help!,"The Beatles ",1965
