,num_of_weeks,lyric,name,artist,year
325,1,Not Found,Got To Give It Up (Pt. I),"Marvin Gaye ",1977
326,1,Trying hard now It s so hard now Trying hard now Getting strong now Won t be long now Getting strong now Gonna fly now Flying high now Gonna fly fly fly,Gonna Fly Now,"Bill Conti ",1977
327,1,Yeah yeah Cryin on my pillow Lonely in my bed Then I heard a voice beside me And she softly said Thunder is your night light Magic is your dream And as I held her She said See what I mean I said Whaaaat She said Ooo ooo ooo wee I said All right She said Love me love me love me Undercover angel Midnight fantasy I never had a dream that made sweet love to me Undercover angel The answer to my prayer You made me know that there s a love for me out there Somewhere Yeah somewhere Heavenly surrender Sweet afterglow Undercover Givin up my heart to you Now angel don t go She said Go find the right one Love her and then When you look into her eyes You ll see me again I said Whaaaat She said Ooo ooo ooo wee I said All right She said Love me love me love me Undercover angel Midnight fantasy I never had a dream that made sweet love to me Undercover angel The answer to my prayer You made me know that there s a love for me out there Somewhere Oh somewhere Now you know my story And girl if it s right I m gonna take you in my arms And love you tonight Underneath the covers The answer lies Lookin for my angel In your sweet lovin eyes She said Whaaat I said Ooo oo oo wee She said All right I said Love me love me love me She said Whaaat I said Ooo oo oo wee She said All right I said Love me love me love me Undercover angel Midnight fantasy I never had a dream that made sweet love to me Undercover angel The answer to my prayer Love me love me love me Undercover angel Midnight fantasy I never had a dream that made sweet love to me Undercover angel The answer to my prayer You made me know that there s a love for me out there,Undercover Angel,"Alan O'Day ",1977
328,1,I met her on a Monday and my heart stood still Da doo ron ron ron da doo ron ron ron Someboy told me that her name was Jill Da doo ron ron ron da doo ron ron ron Yes my heart stood still Yes her name was Jill And when I walked her home da doo ron ron ron da doo ron ron ron I knew what she was thinkin when she caught my eye Da doo ron ron ron da doo ron ron ron I looked so quiet but my oh my Da doo ron ron ron da doo ron ron ron Yes she caught my eye Yes but my oh my And when I walked her home da doo ron ron ron da doo ron ron ron Well I picked her up at seven and she looked so fine Da doo ron ron ron da doo ron ron ron Someday soon I m gonna make her mine Da doo ron ron ron da doo ron ron ron Yes he looked so fine Yes I ll make her mine And when I walked her home da doo ron ron ron da doo ron ron ron Yeah yeah yeah da doo ron ron ron da doo ron ron ron repeat fade,Da Doo Ron Ron,"Shaun Cassidy ",1977
329,1,There are you lookin just the same as you did last time I touched you And here I am close to gettin tangled up inside the thought of you Do you love him as much as I love her And will that love be strong when old feelings start to stir Looks like we made it Left each other on the way to another Looks like we made it Or I thought so till today Until you were there everywhere And all I could taste was love the way we made it Love s so strange playin hide and seek with hearts and always hurtin We re the fools standin close enough to touch those burnin memories And if I hold you for the sake of all those times love made us lose our minds Could I ever let you go Whoa no we made it Left each other on the way to another Looks like we made it Or I thought so till today Until you were there everywhere And all I could taste was love the way we made it Oh we made it Looks like we made it Left each other on the way to another Looks like we made it Or I thought so till today Until you were there everywhere And all I could taste was love the way we made it Looks like we made it Both think we made it,Looks Like We Made It,"Barry Manilow ",1977
330,3,For so long You and me been finding each other for so long And the feeling that I feel for you is more then strong girl Take it from me If you give a little more then you re asking for Your love will turn the key Darling mine I would wait forever for those lips of wine Build my world around you darling This love will shine girl Watch it and see If you give a little more then you re asking for Your love will turn the key I I just want to be your everything Open up the heaven in your heart and let me be The things you are to me and not some puppet on a string Oh if I stay here without you darling I will die I want you laying in the love I have to bring I d do anything to be your everything Darling for so long You and me been finding each other for so long And the feeling that I feel for you is more then strong girl Take it from me If you give a little more then you re asking for Your love will turn the key I I just want to be your everything Open up the heaven in your heart and let me be The things you are to me and not some puppet on a string Oh if I stay here without you darling I will die I want you laying in the love I have to bring I d do anything to be your everything,I Just Want To Be Your Everything,"Andy Gibb ",1977
331,4,NA,Best Of My Love,"The Emotions ",1977
332,1,For so long You and me been finding each other for so long And the feeling that I feel for you is more then strong girl Take it from me If you give a little more then you re asking for Your love will turn the key Darling mine I would wait forever for those lips of wine Build my world around you darling This love will shine girl Watch it and see If you give a little more then you re asking for Your love will turn the key I I just want to be your everything Open up the heaven in your heart and let me be The things you are to me and not some puppet on a string Oh if I stay here without you darling I will die I want you laying in the love I have to bring I d do anything to be your everything Darling for so long You and me been finding each other for so long And the feeling that I feel for you is more then strong girl Take it from me If you give a little more then you re asking for Your love will turn the key I I just want to be your everything Open up the heaven in your heart and let me be The things you are to me and not some puppet on a string Oh if I stay here without you darling I will die I want you laying in the love I have to bring I d do anything to be your everything,I Just Want To Be Your Everything,"Andy Gibb ",1977
333,1,NA,Best Of My Love,"The Emotions ",1977
334,2,Not Found,Star Wars Theme/Cantina Band,"Meco ",1977
335,10,So many nights I d sit by my window Waiting for someone to sing me his song So many dreams I kept deep inside me Alone in the dark but now you ve come along Chorus And you light up my life You give me hope to carry on You light up my days and fill my nights with song Rollin at sea adrift on the water Could it be finally I m turnin for home Finally a chance to say Hey I love you Never again to be all alone Chorus Cause you you light up my life You give me hope to carry on You light up my days and fill my nights with song It can t be wrong When it feels so right Cause you you light up my life,You Light Up My Life,"Debby Boone ",1977
336,2,I know your eyes in the morning sun I feel you touch me in the pouring rain And the moment that you wander far from me I want to feel you in my arms again And you come to me on a summer breeze Keep me warm in your love then you softly leave And it s me you need to show How deep is your love how deep is your love How deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me I believe in you You know the door to my very soul You re the light in my deepest darkest hour You re my savior when I fall And you may not think I care for you When you know down inside that I really do And it s me you need to show How deep is your love how deep is your love How deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me And you come to me on a summer breeze Keep me warm in your love then you softly leave And it s me you need to show How deep is your love how deep is your love How deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me How deep is your love how deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me How deep is your love how deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me,How Deep Is Your Love,"Bee Gees ",1977
337,1,I know your eyes in the morning sun I feel you touch me in the pouring rain And the moment that you wander far from me I want to feel you in my arms again And you come to me on a summer breeze Keep me warm in your love then you softly leave And it s me you need to show How deep is your love how deep is your love How deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me I believe in you You know the door to my very soul You re the light in my deepest darkest hour You re my savior when I fall And you may not think I care for you When you know down inside that I really do And it s me you need to show How deep is your love how deep is your love How deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me And you come to me on a summer breeze Keep me warm in your love then you softly leave And it s me you need to show How deep is your love how deep is your love How deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me How deep is your love how deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me How deep is your love how deep is your love I really mean to learn Cause we re living in a world of fools Breaking us down when they all should let us be We belong to you and me,How Deep Is Your Love,"Bee Gees ",1978
338,3,Spending all my nights all my money going out on the town Doing anything just to get you off of my mind But when the morning comes I m right back where I started again Trying to forget you is just a waste of time Baby come back any kind of fool could see There was something in everything about you Baby come back you can blame it all on me I was wrong and I just can t live without you All day long wearing a mask of false bravado Trying to keep up the smile that hides a tear But as the sun goes down I get that empty feeling again How I wish to God that you were here Baby come back any kind of fool could see There was something in everything about you Baby come back you can blame it all on me I was wrong and I just can t live without you Now that I put it all together Give me the chance to make you see Have you used up all the love in your heart Nothing left for me ain t there nothing left for me Baby come back any kind of fool could see There was something in everything about you Baby come back listen you can blame it all on me I was wrong and I just can t live without you I was wrong and I just can t live,Baby Come Back,"Player ",1978
339,4,Well you can tell by the way I use my walk I m a woman s man no time to talk Music loud and women warm I ve been kicked around Since I was born And now it s all right I don t care And you may look the other way We can try to understand The new york times effect on man Whether you re a brother or whether you re a mother You re stayin alive stayin alive Feel the city breakin and everybody shakin And we re stayin alive stayin alive Ah ha ha ha stayin alive stayin alive Ah ha ha ha stayin alive Well now I get low and I get high And if I can t get either I really try Got the wings of heaven on my shoes I m a dancin man and I just can t lose You know it s all right it s ok I ll live to see another day We can try to understand The new york times effect on man Whether you re a brother or whether you re a mother You re stayin alive stayin alive Feel the city breakin and everybody shakin And we re stayin alive stayin alive Ah ha ha ha stayin alive stayin alive Ah ha ha ha stayin alive Life goin nowhere somebody help me Somebody help me yeah Life goin nowhere somebody help me yeah Well you can tell by the way I use my walk I m a woman s man no time to talk Music loud and women warm I ve been kicked around since I was born And now it s all right it s ok And you may look the other way We can try to understand The new york times effect on man Whether you re a brother or whether you re a mother You re stayin alive stayin alive Feel the city breakin and everybody shakin And we re stayin alive stayin alive Ah ha ha ha stayin alive stayin alive Ah ha ha ha stayin alive Life goin nowhere somebody help me Somebody help me yeah Life goin nowhere somebody help me yeah I m stayin alive,Stayin' Alive,"Bee Gees ",1978
340,2,Love is higher then a mountain Love is thicker than water You are this dreamers only dream Heaven s angel devil s daughter Say my mind should I go with her on silent nights She ll drive me crazy in the end And I should leave this paradise But I can t leave her while I need her more then she needs you That s what I m living for Love is higher than a mountain Love is thicker than water You are this dreamers only dream Heaven s angel devil s daughter Say my thought should I find out she don t care at all She ll leave me crying in the end Wandering through the afterglow But I can t leave her While I need her more then she needs you That s what I m praying for Love is higher than a mountain Love is thicker than water You are this dreamers only dream Heaven s angel devil s daughter Love is higher than a mountain Love is thicker than water You are this dreamers only dream Heaven s angel devil s daughter La,(Love Is) Thicker Than Water,"Andy Gibb ",1978
341,8,Listen to the ground there is movement all around There is something goin down and I can feel it On the waves of the air there is dancin out there If it s somethin we can share we can steal it And that sweet city woman she moves through the light controlling my mind and my soul When you reach out for me yeah and the feelin is bright then I get night fever night fever We know how to do it Gimme that night fever night fever We know how to show it Here I am prayin for this moment to last livin on the music so fine borne on the wind makin it mine Night fever night fever We know how to do it Gimme that night fever night fever We know how to show it In the heat of our love don t need no help for us to make it Gimme just enough to take us to the mornin I got fire in my mind I got higher in my walkin And I m glowin in the dark I give you warnin And that sweet city woman she moves through the light controlling my mind and my soul When you reach out for me yeah and the feelin is bright then I get night fever night fever We know how to do it Gimme that night fever night fever We know how to show it Here I am prayin for this moment to last livin on the music so fine borne on the wind makin it mine Night fever night fever We know how to do it Gimme that night fever night fever We know how to show it,Night Fever,"Bee Gees ",1978
342,1,Don t know why I m survivin every lonely day When there s got to be no chance for me My life would end And it doesn t matter how I cry My tears so far are a waste of time If I turn away Am I strong enough to see it through Go crazy is what I will do Chorus If I can t have you I don t want nobody baby If I can t have you uh huh oh If I can t have you I don t want nobody baby If I can t have you uh hoh Oh da da da da da da da da da da da Oooh oooh Aahhhh Aahhhh Can t let go and it doesn t matter how I try I gave it all so easily to you my love To dreams that never will come true Am I strong enough to see it through Go crazy is what I will do If I can t have you I don t want nobody baby If I can t have you uh huh oh If I can t have you I don t want nobody baby If I can t have you uh hoh Oh Aahhhh Aahhhh Oh If I can t have you I don t want nobody baby If I can t have you uh huh oh If I can t have you I don t want nobody baby If I can t have you uh hoh If I can t have you I don t want nobody baby If I can t have you uh huh oh If I can t have you I don t want nobody baby If I can t have you uh hoh,If I Can't Have You,"Yvonne Elliman ",1978
343,2,With A Little Luck We Can Help It Out We Can Make This Whole Damn Thing Work Out With A Little Love We Can Lay It Down Can t You Feel The Town Exploding There Is No End To What We Can Do Together There Is No End There Is No End The Willow Turns His Back On Inclement Weather And If He Can Do It We Can Do It Just Me And You And A Little Luck We Can Clear It Up We Can Bring It In For A Landing With A Little Luck We Can Turn It On There Can Be No Misunderstanding There Is No End To What We Can Do Together There Is No End There Is No End The Willow Turns His Back On Inclement Weather We Can Do It Just Me And You With A Little Push We Could Set It Off We Can Send It Rocketing Skywards With A Little Love We Could Shake It Up Don t You Feel The Comet Exploding With A Little Luck With A Little Luck With A Little Luck A Little Luck A Little Luck With A Little Luck With A Little Luck With A Little Luck A Little Luck A Little Luck,With A Little Luck,"Wings ",1978
344,1,JOHNNY Guess it s over call it a day Sorry that it had to end this way No reason to pretend We knew it had to end some day this way Deniece Yes it s over the kicks are gone What s the use of tryin to hang on Somewhere we lost the key So little left for you and me and it s clear to see Both Too much too little too late to lie again with you Too much too little too late to try again with you We re in the middle of ending something that we knew Johnny Was over Deniece Oh it was over Both Too much too little too late to ever try again Too much too little too late let s end it being friends Too much too little too late we knew it had to end Deniece And it s over Johnny It s over Deniece Yes it s over the chips are down whoa Pitty all our bridges tumbled down Johnny Whatever chance we try let s face it why deny It s over Deniece It s over Johnny It s over Both Too much too little too late to ever try again Too much too little too late let s end it being friends Too much too little too late we knew it had to end Johnny And it s over Deniece And it s over Johnny It s over Deniece And it s over Fade Both Too much too little too late to ever try again Too much too little too late let s end it being friends,"Too Much, Too Little, Too Late","                              Johnny Mathis/Deniece Williams                          ",1978
345,1,I got chills They re multiplying And I m losing control Cause the power you re supplying It s electrifying You better shape up Cause I need a man And my heart is set on you You better shape up You better understand To my heart I must be true Nothing left Nothing left for me to do You re the one that I want You are the one I want Oo oo oo honey The one that I want You are the one I want Oo oo oo honey The one that I want You are the one I want Oo oo oo the one I need Oh yes indeed If you re filled With affection You re to shy to convey Better take my direction Feel your way I better shape up Cause you need a man I need a man Who can keep me satisfied I better shape up If I m gonna prove You better prove That my faith is justified Are you sure Yes I m sure down deep inside You re the one that I want You are the one I want Oo oo oo honey The one that I want You are the one I want Oo oo oo honey The one that I want You are the one I want Oo oo oo the one I need Oh yes indeed Repeat x 3,You're The One That I Want,"John Travolta & Olivia Newton-John ",1978
346,7,You got me looking at that heaven in your eyes I was chasing your direction I was telling you no lies And I was loving you When the words are said baby I lose my head And in a world of people there s only you and I There ain t nothing come between us in the end How can I hold you when you ain t even mine Only you can see me through I leave it up to you Do it light taking me through the night Shadow dancing baby you do it right Give me more drag me across the floor Shadow dancing all this and nothing more All that I need is just one moment in your arms I was chasing your affection I was doing you no harm And I was loving you Make it shine make it rain baby I know my way I need that sweet sensation of living in your love I can t breath when you re away it pulls me down You are the question and the answer am I Only you can see me through I leave it up to you Do it light taking me through the night Shadow dancing baby you do it right Give me more drag me across the floor Shadow dancing all this and nothing more And in this world of people there s only you and I There ain t nothing come between us in the end Ah can I hold you when you ain t even mine Only you can see me through I leave it up to you Do it light taking me through the night Shadow dancing baby you do it right Give me more drag me across the floor Shadow dancing all this and nothing more Do it light taking me through the night Shadow dancing baby you do it right Give me more drag me across the floor Shadow dancing all this and nothing more Do it light taking me through the night Shadow dancing baby you do it right Give me more drag me across the floor Shadow dancing all this and nothing more,Shadow Dancing,"Andy Gibb ",1978
347,1,I ve been holding out so long I ve been sleeping all alone Lord I miss you I ve been hanging on the phone I ve been sleeping all alone I want to kiss you Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh oooh Well I ve been haunted in my sleep You ve been staring in my dreams Lord I miss you I ve been waiting in the hall Been waiting on your call When the phone rings It s just some friends of mine that say Hey what s the matter man We re gonna come around at twelve With some Puerto Rican girls that are just dyin to meet you We re gonna bring a case of wine Hey let s go mess and fool around You know like we used to 12 version You ve been strung up for her too long You know girls will come and go They re just like streetcars I ve been staying here too long Sometimes I feel so Abandoned Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Oh everybody waits so long Oh baby why you wait so long Won t you come on Come on I ve been walking Central Park Singing after dark People think I m crazy I ve been stumbling on my feet Shuffling through the street People ask me What s the matter with you boy Sometimes I want to say to myself Sometimes I say Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh Oooh oooh oooh oooh oooh oooh oooh Oooh oooh oooh oooh oooh oooh oooh I won t miss you child I guess I m lying to myself It s just you and no one else Lord I won t miss you child You ve been blotting out my mind Fooling on my time No I won t miss you baby yeah Lord I miss you child Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Lord I miss you child Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Lord I miss you child Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah Aaah,Miss You,"The Rolling Stones ",1978
348,2,Thanks for the times that you ve given me The memories are all in my mind And now that we ve come to the end of our rainbow There s something i must say out loud You re once twice three times a lady And I love you Yes you re once twice three times a lady And I love you I love you When we are together the moments I cherish With every beat of my heart To touch you to hold you To feel you to need you There s nothing to keep us apart You re once twice three times a lady And I love you I love you,Three Times A Lady,"Commodores ",1978
349,2,I solve my problems and I see the light We got a lovin thing we gotta feed it right There ain t no danger we can go to far We start believing now that we can be what we are Grease is the word They think our love is just a growing pain Why don t they understand It s just a crying shame Their lips are lying only real is real We stop the fight right now we got to be what feel Grease is the word It s got groove it s got meaning Grease is the time is the place is the motion Grease is the way we are feeling We take the pressure and we throw away Conventionality belongs to yesterday There is a chance that we can make it so far We start believing now but we can be who we are Grease is the word It s got groove it s got meaning Grease is the time is the place is the motion Grease is the way we are feeling This is the life of illusion Wrapped up in trouble laced with confusion What are we doing here We take the pressure and we throw away Conventionality belongs to yesterday There is a chance that we can make it so far We start believing now that we can be who we are Grease is the word It s got groove it s got meaning Grease is the time is the place is the motion Grease is the way we are feeling Grease is the word It s got groove it s got meaning Grease is the time is the place is the motion Grease is the way we are feeling Grease is the word Is the word Is the word Is the word,Grease,"Frankie Valli ",1978
350,3,If you re thinkin you re too cool to boogie Boy oh boy have I got news for you Everybody here tonight must boogie Let me tell ya you are no exception to the rule Get on up on the floor Cuz we re gonna boogie oogie oogie Till you just can t boogie no more boogie Boogie no more You can t boogie no more boogie Boogie no more listen to the music There s no time to waste let s get this show on the road Listen to the music and let your body flow The sooner we begin the longer we ve got to groove Listen to the music and let your body move Now get on up on the floor Cuz we re gonna boogie oogie oogie Till you just can t boogie no more boogie Boogie no more You can t boogie no more boogie Boogie no more listen to my bass here Get down boogie oogie oogie Get down boogie oogie oogie Get down boogie oogie oogie Get down,Boogie Oogie Oogie,"A Taste Of Honey ",1978
351,4,When I get home babe gonna light your fire All day I ve been thinkin about you babe You re my one desire Gonna wrap my arms around you Hold you close to me Oh babe I want to taste your lips I want to fill your fantasy yeah I don t what I d do without you babe Don t know where I d be You re not just another lover No you re everything to me Ev rytime I m with you baby I can t believe it s true When you re layin in my arms n you do the things you do You can see it in my eyes I can feel it in your touch You don t have to say a thing Just let me show how much I love you need you oh babe I want to kiss you all over And over again I want to kiss you all over Till the night closes in Till the night closes in No one else can ever make me Feel the way you do Oh so keep on loving me baby And I ll keep loving you Well it s easy to see When something s right or something s wrong So stay with me baby and hold me all night long Show me show me everything you do Cause baby no one does it quite like you I love you need you oh babe I wanna kiss you all over And over again I wanna kiss you all over Till the night closes in Till the night closes in Stay with me lay with me Holding me loving me baby Here with me near with me Feeling you close to me baby Show me show me everything you do Cause baby no one does it quite like you Love you need you oh yea I wanna kiss you all over And over again I wanna kiss you all over Till the night closes in Till the night closes in Till the night closes in Wanna kiss you all over Till the night closes in Till the night closes in When I get home baby Gonna light your fire,Kiss You All Over,"Exile ",1978
352,1,Danger in the shape of something wild Stranger dressed in black she s a hungry child No one knows who she is or what her name is I don t know where she came from or what her game is Hot child in the city Hot child in the city Runnin wild and lookin pretty Yeah Hot child in the city So young to be loose and on her own Young boys they all want to take her home When she comes downtown the boys all stop and stare When she comes downtown she walks like she just don t care Yeah Hot child in the city Hot child in the city Runnin wild and lookin pretty Yeah Hot child in the city Come on down to my place baby we ll talk about love Come on down to my place baby we ll make love Hot child in the city Hot child in the city Hot child in the city runnin wild and lookin pretty Hot child in the city Hot child in the city Hot child in the city Hot child in the city Hot child in the city,Hot Child In The City,"Nick Gilder ",1978
353,1,I cried a tear you wiped it dry I was confused you cleared my mind I sold my soul you bought it back for me And held me up and gave me dignity Somehow you needed me You gave me strength to stand alone again To face the world out on my own again You put me high upon a pedestal So high that I could almost see eternity You needed me you needed me And I can t believe it s you I can t believe it s true I needed you and you were there And I ll never leave why should I leave I d be a fool cause I finally found someone who really cares You held my hand when it was cold When I was lost you took me home You gave me hope when I was at the end And turned my lies back into truth again You even called me friend You gave me strength to stand alone again To face the world out on my own again You put me high upon a pedestal So high that I could almost see eternity You needed me you needed me You needed me you needed me,You Needed Me,"Anne Murray ",1978
354,3,Spring was never waiting for us dear It ran one step ahead As we followed in the dance Chorus MacArthur s Park is melting in the dark All the sweet green icing flowing down Someone left the cake out in the rain I don t think that I can take it Cause it took so long to bake it And I ll never have that recipe again Oh no I recall the yellow cotton dress Foaming like a wave On the ground beneath your knees The birds like tender babies in your hands And the old men playing Chinese checkers by the trees MacArthur s Park is melting in the dark All the sweet green icing flowing down Someone left the cake out in the rain I don t think that I can take it Cause it took so long to bake it And I ll never have that recipe again Oh no MacArthur s Park is melting in the dark All the sweet green icing flowing down Someone left my cake out in the rain I don t think that I can take it Cause it took so long to bake it And I ll never have that recipe again Oh no,MacArthur Park,"Donna Summer ",1978
355,1,You don t bring me flowers You don t sing me love songs You hardly talk to me anymore When you come through the door At the end of the day I remember when You couldn t wait to love me Used to hate to leave me Now after lovin me late at night When it s good for you And you re feelin alright Well you just roll over And turn out the light And you don t bring me flowers anymore It used to be so natural To talk about forever But used to be s don t count anymore They just lay on the floor Til we sweep them away And baby I remember All the things you taught me I learned how to laugh And I learned how to cry Well I learned how to love Even learned how to lie You d think I could learn How to tell you goodbye Cause you don t bring me flowers anymore,You Don't Bring Me Flowers,"Barbra Streisand & Neil Diamond ",1978
356,1,Chorus Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Have you heard about the new dance craze Listen to us I m sure you ll be amazed Big fun to be had by everyone It s up to you It surely can be done Young and old are doing it I m told Just one try and you too will be sold It s called Le Freak They re doing it night and day Allow us we ll show you the way Chorus All that pressure got you down Has your head spinning all around Feel the rhythm check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak oh what a joy Just come on down to fifty four Find a spot out on the floor Chorus Now Freak I said Freak Now Freak All that pressure got you down Has your head spinning all around Feel the rhythm check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak oh what a joy Just come on down to fifty four Find a spot out on the floor Chorus,Le Freak,"Chic ",1978
357,1,You don t bring me flowers You don t sing me love songs You hardly talk to me anymore When you come through the door At the end of the day I remember when You couldn t wait to love me Used to hate to leave me Now after lovin me late at night When it s good for you And you re feelin alright Well you just roll over And turn out the light And you don t bring me flowers anymore It used to be so natural To talk about forever But used to be s don t count anymore They just lay on the floor Til we sweep them away And baby I remember All the things you taught me I learned how to laugh And I learned how to cry Well I learned how to love Even learned how to lie You d think I could learn How to tell you goodbye Cause you don t bring me flowers anymore,You Don't Bring Me Flowers,"Barbra Streisand & Neil Diamond ",1978
358,2,Chorus Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Have you heard about the new dance craze Listen to us I m sure you ll be amazed Big fun to be had by everyone It s up to you It surely can be done Young and old are doing it I m told Just one try and you too will be sold It s called Le Freak They re doing it night and day Allow us we ll show you the way Chorus All that pressure got you down Has your head spinning all around Feel the rhythm check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak oh what a joy Just come on down to fifty four Find a spot out on the floor Chorus Now Freak I said Freak Now Freak All that pressure got you down Has your head spinning all around Feel the rhythm check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak oh what a joy Just come on down to fifty four Find a spot out on the floor Chorus,Le Freak,"Chic ",1978
359,2,Chorus Nobody gets too much heaven no more It s much harder to come by I m waiting in line Nobody gets too much love anymore It s as high as a mountain And harder to climb Oh you and me girl Got a lot of love in store And it flows through you And it flows through me And I love you so much more Then my life I can see beyond forever Ev rything we are will never die Loving s such a beautiful thing Oh you make my world a summer day Are you just a dream to fade away Chorus Nobody gets too much heaven no more It s much harder to come by I m waiting in line Nobody gets too much love anymore It s as high as a mountain And harder to climb You and me girl got a highway to the sky We can turn away from the night and day And the tears you had to cry You re my life I can see a new tomorrow Ev rything we are will never die Loving s such a beautiful thing When you are to me the light above Made for all to see our precious love Chorus Nobody gets too much heaven no more It s much harder to come by I m waiting in line Nobody gets too much love anymore It s as high as a mountain And harder to climb Love is such a beautiful thing You make my world a summer day Are you just a dream to fade away Chorus Nobody gets too much heaven no more It s much harder to come by I m waiting in line Nobody gets too much love anymore It s as high as a mountain And harder to climb Nobody gets too much love anymore It s as wide as a river and harder to cross Chorus Nobody gets too much heaven no more It s much harder to come by I m waiting in line Nobody gets too much love anymore It s as high as a mountain And harder to climb,Too Much Heaven,"Bee Gees ",1979
360,3,Chorus Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Aaahh Freak out Le Freak see est Chic Freak out Have you heard about the new dance craze Listen to us I m sure you ll be amazed Big fun to be had by everyone It s up to you It surely can be done Young and old are doing it I m told Just one try and you too will be sold It s called Le Freak They re doing it night and day Allow us we ll show you the way Chorus All that pressure got you down Has your head spinning all around Feel the rhythm check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak oh what a joy Just come on down to fifty four Find a spot out on the floor Chorus Now Freak I said Freak Now Freak All that pressure got you down Has your head spinning all around Feel the rhythm check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak oh what a joy Just come on down to fifty four Find a spot out on the floor Chorus,Le Freak,"Chic ",1979
361,4,Sugar sugar She sits alone waiting for suggestions Hes so nervous avoiding all the questions His lips are dry her heart is gently pounding Don t you just know exactly what they re thinking If you want my body and you think Im sexy Come on sugar let me know If you really need me just reach out and touch me Come on honey tell me so Tell me so baby Hes acting shy looking for an answer Come on honey lets spend the night together Now hold on a minute before we go much further Give me a dime so I can phone my mother They catch a cab to his high rise apartment At last he can tell her exactly what his heart meant If you want my body and you think Im sexy Come on honey tell me so If you really need me just reach out and touch me Come on sugar let me know His hearts beating like a drum Cos at last he s got this girl home Relax baby now we are alone They wake at dawn cos all the birds are singing Two total strangers but that aint what they re thinking Outside it s cold misty and it s raining They got each other neither ones complaining He says I sorry but Im out of milk and coffee Never mind sugar we can watch the early movie If you want my body and you think Im sexy Come on sugar let me know If you really need me just reach out and touch me Come on honey tell me so If you really need me just reach out and touch me Come on sugar let me know If you really really really really need me Just let me know Just reach out and touch me If you really want me Just reach out and touch me Come on sugar let me know If you really need me just reach out and touch me Come on sugar let me know If you if you if you really need me Just come on and tell me so,Da Ya Think I'm Sexy?,"Rod Stewart ",1979
